Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC07,1000,Secure,10240,2,6.151,7.599,10.145,13.638,305122,3124.44928,514,6.078695097276264
TC07,1000,Non-Secure,10240,3,3.437,4.393,6.235,17.367,300749,3079.6697599999998,308,9.998927792207791
TC07,1000,Secure,10240,3,5.967,7.336,9.835,12.462,302987,3102.58688,510,6.0835036862745095
TC07,1000,Non-Secure,10240,4,3.137,4.108,4.622,6.256,300689,3079.05536,307,10.029496286644951
TC07,1000,Secure,10240,4,6.268,7.715,10.469,15.165,304658,3119.69792,514,6.069451206225681
TC07,1000,Non-Secure,10240,5,3.109,4.072,4.781,6.271,300607,3078.21568,307,10.026761172638436
TC07,1000,Secure,10240,5,6.182,7.603,10.109,12.876,306366,3137.18784,543,5.777509834254143
TC07,1000,Non-Secure,10240,6,3.096,4.052,4.799,6.573,300628,3078.43072,307,10.027461628664495
TC07,1000,Secure,10240,6,6.164,7.611,10.214,13.484,307271,3146.45504,540,5.826768592592592
TC07,1000,Non-Secure,10240,7,3.459,4.415,6.261,12.487,300638,3078.53312,307,10.027795179153095
TC07,1000,Secure,10240,7,6.075,7.408,9.857,12.157,307127,3144.9804799999997,551,5.707768566243193
TC07,1000,Non-Secure,10240,8,3.342,4.296,5.569,7.998,300625,3078.3999999999996,308,9.994805194805194
TC07,1000,Secure,10240,8,6.583,8.043,11.175,17.711,306603,3139.61472,548,5.72922394160584
TC07,1000,Non-Secure,10240,9,3.331,4.294,5.866,16.74,300603,3078.17472,307,10.026627752442996
TC07,1000,Secure,10240,9,6.285,7.688,10.188,13.512,303255,3105.3312,536,5.793528358208955
TC07,1000,Non-Secure,10240,10,3.433,4.392,6.162,13.547,300639,3078.5433599999997,307,10.027828534201953
TC07,1000,Secure,10240,10,6.177,7.581,10.007,12.725,303759,3110.49216,514,6.051541167315174
